family,old_product_id,old_handle,old_title,new_handle,new_title,new_color,has_media
Butterfly Off The Shoulder Crewneck,10584099488032,butterfly-off-the-shoulder-crewneck-black,Butterfly Off The Shoulder Crewneck Black,butterfly-off-the-shoulder-crewneck,Butterfly Off The Shoulder Crewneck,Black,False
Butterfly Off The Shoulder Crewneck,10584109449504,butterfly-off-the-shoulder-crewneck-black-copy,Butterfly Off The Shoulder Crewneck Grey,butterfly-off-the-shoulder-crewneck,Butterfly Off The Shoulder Crewneck,Grey,False
Form Straight Leggings,10584068686112,form-straight-leggings-black,Form Straight Leggings Black,form-straight-leggings,Form Straight Leggings,Black,False
Form Straight Leggings,10584071045408,form-straight-leggings-blue,Form Straight Leggings Blue,form-straight-leggings,Form Straight Leggings,Blue,False
Signature Leggings,10584079466784,signature-leggings-black,Signature Leggings Black,signature-leggings,Signature Leggings,Black,False
Signature Leggings,10584084513056,signature-leggings-royal-blue,Signature Leggings Royal Blue,signature-leggings,Signature Leggings,Royal Blue,False
Signature Long Sleeve Compression,10583930011936,signature-long-sleeve-compression-black-with-white-text,Signature Long Sleeve Compression Black with White Text,signature-long-sleeve-compression,Signature Long Sleeve Compression,Black,False
Signature Long Sleeve Compression,10583936368928,signature-long-sleeve-compression-blue,Signature Long Sleeve Compression Blue,signature-long-sleeve-compression,Signature Long Sleeve Compression,Blue,False
Signature Long Sleeve Compression,10583940006176,signature-long-sleeve-compression-lilac-purple,Signature Long Sleeve Compression Lilac Purple,signature-long-sleeve-compression,Signature Long Sleeve Compression,Lilac Purple,False
Signature Short Sleeve Compression,10584030216480,signature-short-sleeve-compression-black-with-white-text,Signature Short Sleeve Compression Black with White Text,signature-short-sleeve-compression,Signature Short Sleeve Compression,Black,False
Signature Short Sleeve Compression,10583985946912,signature-long-sleeve-compression-blue-copy,Signature Short Sleeve Compression Blue,signature-short-sleeve-compression,Signature Short Sleeve Compression,Blue,False
Signature Short Sleeve Compression,10583977296160,signature-short-sleeve-compression-lilac-purple,Signature Short Sleeve Compression Lilac Purple,signature-short-sleeve-compression,Signature Short Sleeve Compression,Lilac Purple,False
