cluster_id,tier,proposed_family,proposed_color,product_id,handle,title,type,variant_count,image_count,total_inventory,tags_count,collection_count,current_option_scheme
1,HIGH,Track Pants,Varsity Blue Gray,9855269634336,varsity-blue-gray-track-pants,Varsity Blue & Gray Track Pants,Tracksuit,5,4,-1,5,13,
1,HIGH,Track Pants,Forest Green,9855269896480,forest-green-track-pants,Forest Green Track Pants,Tracksuit,5,3,-1,5,13,
2,HIGH,Track Jacket,Varsity Blue Gray,9855403393312,varsity-blue-gray-track-jacket,Varsity Blue & Gray Track Jacket,Tracksuit,7,6,-3,5,13,
2,HIGH,Track Jacket,Forest Green,9855403819296,forest-green-track-jacket,Forest Green Track Jacket,Tracksuit,7,4,0,6,13,
3,HIGH,Forged In Failure Crewneck,Brown,9856188907808,brown-forged-in-failure-crewneck,Brown Forged in Failure Crewneck,Sweatshirts,7,6,-1,5,9,
3,HIGH,Forged In Failure Crewneck,UNC Blue,9856189104416,unc-blue-forged-in-failure-crewneck,UNC Blue Forged in Failure Crewneck,Sweatshirts,7,4,-2,5,9,
4,HIGH,Lightweight Tee,White Stealth,9950544298272,white-stealth-lightweight-tee,White Stealth Lightweight Tee,T-Shirts,7,4,-5,4,12,
4,HIGH,Lightweight Tee,Midnight Black,10020173349152,og-black-lightweight-tee,Midnight Black Lightweight Tee,T-Shirts,7,12,-156,4,12,
5,HIGH,Track Pants,Prime Layer Frost Blue,10003280101664,sky-blue-nylon-pants,Prime Layer Frost Blue Track Pants,Tracksuit,7,3,-1,4,11,
5,HIGH,Track Pants,Prime Layer Forest Green,10003280134432,sky-blue-nylon-pants-copy,Prime Layer Forest Green Track Pants,Tracksuit,7,3,0,4,11,
6,HIGH,Heavyweight Sweatpants,Gunmetal Gray,10063945302304,neutral-gray-wide-leg-sweatpants,Gunmetal Gray Heavyweight Sweatpants,Evergreen Sweats,5,4,455,13,22,
6,HIGH,Heavyweight Sweatpants,Faded Black,10065630757152,black-neutral-sweats,Faded Black Heavyweight Sweatpants,Evergreen Sweats,5,6,279,13,23,
6,HIGH,Heavyweight Sweatpants,Navy,10279638008096,navy-heavyweight-sweatpants,Navy Heavyweight Sweatpants,Evergreen Sweats,5,8,256,12,18,
6,HIGH,Heavyweight Sweatpants,Forest Green,10279643873568,forest-green-heavyweight-sweatpants,Forest Green Heavyweight Sweatpants,Evergreen Sweats,5,7,3,12,18,
6,HIGH,Heavyweight Sweatpants,Washed Red,10279645380896,washed-red-heavyweight-sweatpants-copy,Washed Red Heavyweight Sweatpants,Evergreen Sweats,5,5,108,11,17,
6,HIGH,Heavyweight Sweatpants,Heather grey,10279647084832,heather-grey-heavyweight-sweatpants,Heather grey Heavyweight Sweatpants,Evergreen Sweats,5,7,229,11,18,
6,HIGH,Heavyweight Sweatpants,Pitch Black,10279648493856,pitch-black-heavyweight-sweatpants,Pitch Black Heavyweight Sweatpants,Evergreen Sweats,5,4,618,12,19,
7,HIGH,Pump Cover,Blackout,10088889254176,blackout-pump-cover,Blackout Pump Cover,Evergreen Pump Cover,8,4,1922,12,24,
7,HIGH,Pump Cover,UNC Blue,10088893448480,unc-blue-pump-cover,UNC Blue Pump Cover,Evergreen Pump Cover,8,3,-31,7,16,
7,HIGH,Pump Cover,Cool Grey,10088901116192,cool-grey-pump-cover,Cool Grey Pump Cover,Evergreen Pump Cover,8,4,649,11,23,
7,HIGH,Pump Cover,Oreo,10088951021856,oreo-pump-cover,Oreo Pump Cover,Evergreen Pump Cover,8,5,0,4,11,
7,HIGH,Pump Cover,Midnight Black,10088958034208,midnight-black-pump-cover,Midnight Black Pump Cover,Evergreen Pump Cover,8,5,1532,12,24,
7,HIGH,Pump Cover,Cherry Blossom,10137377964320,cherry-blossom-pump-cover,Cherry Blossom Pump Cover,Pump Cover,7,8,473,4,18,
7,HIGH,Pump Cover,Navy,10402011709728,navy-pump-cover,Navy Pump Cover,Pump Cover,7,4,104,3,12,
7,HIGH,Pump Cover,Gunmetal Grey,10444471337248,gunmetal-grey-pump-cover,Gunmetal Grey Pump Cover,Pump Cover,7,7,33,3,12,
8,HIGH,Tee,Faded,10243224600864,faded-tee,Faded Tee,T-Shirts,7,6,0,6,14,
8,HIGH,Tee,Black Stitched Cut Off,10525974593824,stitched-cut-off-tee,Black Stitched Cut Off Tee,Cutoff Tanktop,7,0,458,7,18,
8,HIGH,Tee,Beige Stitched Cut Off,10526032298272,beige-stitched-cut-off-tee,Beige Stitched Cut Off Tee,Cutoff Tanktop,7,0,73,7,18,
8,HIGH,Tee,Cool Grey Stitched Cut Off,10526132142368,cool-grey-stitched-cut-off-tee,Cool Grey Stitched Cut Off Tee,Cutoff Tanktop,7,0,267,7,18,
9,HIGH,Faded Cutoff Off White,(same as stem),10243227975968,faded-cutoff-off-white,Faded Cutoff Off White,Cutoff Tanktop,7,9,0,8,15,
9,HIGH,Faded Cutoff Off White,Dusk,10243228893472,faded-cutoff-dusk,Faded Cutoff Dusk,Cutoff Tanktop,7,5,0,9,17,
10,HIGH,Smoke Pump Cover Off White,(same as stem),10243233218848,smoke-pump-cover-off-white,Smoke Pump Cover Off White,Pump Cover,7,7,8,5,15,
10,HIGH,Smoke Pump Cover Off White,Dusk,10243233317152,smoke-pump-cover-dusk,Smoke Pump Cover Dusk,Pump Cover,7,4,32,6,16,
11,HIGH,Wide Leg Sweats Dusk,(same as stem),10243236233504,wide-leg-sweats-dusk,Wide Leg Sweats Dusk,Sweatpants,5,7,93,10,17,
11,HIGH,Wide Leg Sweats Dusk,Black,10243236299040,wide-leg-sweats-black,Wide Leg Sweats Black,Sweatpants,5,7,0,8,13,
12,HIGH,Iron Shell Skullie Off White,(same as stem),10243244720416,iron-shell-skullie-off-white,Iron Shell Skullie Off White,Accessories,1,4,0,6,12,
12,HIGH,Iron Shell Skullie Off White,Dusk,10251497341216,iron-shell-skullie-dusk,Iron Shell Skullie Dusk,Accessories,1,4,0,5,13,
12,HIGH,Iron Shell Skullie Off White,Black Digital Print Bandana,10508241305888,black-digital-print-bandana,Black Digital Print Bandana,Accessories,1,0,-18,4,13,
12,HIGH,Iron Shell Skullie Off White,Butterfly Black,10513651597600,butterfly-skullie-black,Butterfly Skullie Black,Accessories,1,0,-61,5,14,
12,HIGH,Iron Shell Skullie Off White,Black Signature Hat,10513658118432,black-signature-hat,Black Signature Hat,Accessories,1,0,-18,4,13,
13,HIGH,Smoke Zip Up Hoodie,(same as stem),10243246129440,smoke-zip-up-hoodie,Smoke Zip Up Hoodie,Zipup Hoodie,7,10,62,9,19,
13,HIGH,Smoke Zip Up Hoodie,Grey,10320499638560,smoke-zip-up-hoodie-grey,Smoke Zip Up Hoodie Grey,Zipup Hoodie,7,2,24,8,18,
14,HIGH,Pack,Dusk Beater Three,10243247997216,dusk-beater-three-pack,Dusk Beater Three Pack,Beater 3-Pack,7,13,0,6,13,
14,HIGH,Pack,Vintage Washed Beater,10487451746592,vintage-washed-beater-3-pack,Vintage Washed Beater 3-Pack,Beater 3-Pack,7,11,118,6,16,
14,HIGH,Pack,Nightshade Beater,10583013949728,nightshade-beater-3-pack-1,Nightshade Beater 3-Pack,Beater 3-Pack,7,0,768,6,16,
14,HIGH,Pack,Neutral Beater,10583023223072,neutral-beater-3-pack,Neutral Beater 3-Pack,Beater 3-Pack,7,0,501,6,16,
15,HIGH,Lightweight Tee Three Pack,Smoke,10243250422048,smoke-lightweight-tee-three-pack,Smoke Lightweight Tee Three Pack,Lightweight Tee 3-Pack,7,17,2,8,19,
15,HIGH,Lightweight Tee Three Pack,Butterfly,10523495530784,butterfly-lightweight-tee-three-pack,Butterfly Lightweight Tee Three Pack,Lightweight Tee 3-Pack,7,0,1987,8,20,
16,HIGH,Blank pump cover,(same as stem),10243548807456,waffle-knit-blank-copy,Blank pump cover,Evergreen Pump Cover,7,11,974,12,23,
16,HIGH,Blank pump cover,Pumpcover,10243549954336,waffle-knit-blank-copy-1,Blank Pumpcover,Evergreen Pump Cover,7,6,1175,12,23,
16,HIGH,Blank pump cover,Vintage Washed,10398653546784,vintage-washed-pump-cover,Vintage Washed Pump Cover,Pump Cover,8,6,1485,3,13,
17,HIGH,Heavyweight Pullover,Heather Grey,10279654031648,heather-grey-heavyweight-pullover,Heather Grey Heavyweight Pullover,Evergreen Pullover,7,6,716,14,24,
17,HIGH,Heavyweight Pullover,Forest Green,10279654162720,forest-green-heavyweight-pullover,Forest Green Heavyweight Pullover,Evergreen Pullover,7,6,302,14,22,
17,HIGH,Heavyweight Pullover,Navy,10279654785312,navy-blue-heavyweight-pullover,Navy Heavyweight Pullover,Evergreen Pullover,7,6,533,14,22,
17,HIGH,Heavyweight Pullover,Washed Red,10279655309600,washed-red-pullover,Washed Red Heavyweight Pullover,Evergreen Pullover,7,5,201,14,22,
17,HIGH,Heavyweight Pullover,Pitch Black,10279655735584,pitch-black-pullover,Pitch Black Heavyweight Pullover,Evergreen Pullover,7,6,573,14,24,
17,HIGH,Heavyweight Pullover,Gunmetal Grey,10279656489248,gunmetal-grey-pullover,Gunmetal Grey Heavyweight Pullover,Evergreen Pullover,7,6,728,14,23,
17,HIGH,Heavyweight Pullover,Faded Black,10279657341216,faded-black-heavyweight-pullover,Faded Black Heavyweight Pullover,Evergreen Pullover,7,6,836,14,24,
18,HIGH,Heavyweight Zip Up,Faded Black,10279660781856,faded-black-heavyweight-zip-up,Faded Black Heavyweight Zip Up,Evergreen Zip up,7,5,593,15,23,
