family,field,sibling_title,current_value,proposed_action
Evergreen Pump Cover,price,Blackout Pump Cover,$55.0,keep per-variant (Rule G3)
Evergreen Pump Cover,price,UNC Blue Pump Cover,$55.0,keep per-variant (Rule G3)
Evergreen Pump Cover,price,Cool Grey Pump Cover,$55.0,keep per-variant (Rule G3)
Evergreen Pump Cover,price,Oreo Pump Cover,$55.0,keep per-variant (Rule G3)
Evergreen Pump Cover,price,Midnight Black Pump Cover,$55.0,keep per-variant (Rule G3)
Evergreen Pump Cover,price,Cherry Blossom Pump Cover,$60.0,keep per-variant (Rule G3)
Evergreen Pump Cover,price,Navy Pump Cover,$55.0,keep per-variant (Rule G3)
Evergreen Pump Cover,price,Gunmetal Grey Pump Cover,$55.0,keep per-variant (Rule G3)
Evergreen Pump Cover,price,Amethyst Pump Cover,$55.0,keep per-variant (Rule G3)
Evergreen Pump Cover,price,Amethyst Camo Pump Cover,$60.0,keep per-variant (Rule G3)
Evergreen Pump Cover,price,Arctic Camo Pump Cover,$60.0,keep per-variant (Rule G3)
Evergreen Pump Cover,body_html,Blackout Pump Cover,612 chars,longest wins (Rule G7a)
Evergreen Pump Cover,body_html,UNC Blue Pump Cover,615 chars,longest wins (Rule G7a)
Evergreen Pump Cover,body_html,Cool Grey Pump Cover,612 chars,longest wins (Rule G7a)
Evergreen Pump Cover,body_html,Oreo Pump Cover,608 chars,longest wins (Rule G7a)
Evergreen Pump Cover,body_html,Midnight Black Pump Cover,618 chars,longest wins (Rule G7a)
Evergreen Pump Cover,body_html,Cherry Blossom Pump Cover,888 chars,longest wins (Rule G7a)
Evergreen Pump Cover,body_html,Navy Pump Cover,952 chars,longest wins (Rule G7a)
Evergreen Pump Cover,body_html,Gunmetal Grey Pump Cover,1034 chars,longest wins (Rule G7a)
Evergreen Pump Cover,body_html,Amethyst Pump Cover,412 chars,longest wins (Rule G7a)
Evergreen Pump Cover,body_html,Amethyst Camo Pump Cover,412 chars,longest wins (Rule G7a)
Evergreen Pump Cover,body_html,Arctic Camo Pump Cover,326 chars,longest wins (Rule G7a)
Evergreen Pump Cover,type,Blackout Pump Cover,Evergreen Pump Cover,most common (G4/G5/G6)
Evergreen Pump Cover,type,UNC Blue Pump Cover,Evergreen Pump Cover,most common (G4/G5/G6)
Evergreen Pump Cover,type,Cool Grey Pump Cover,Evergreen Pump Cover,most common (G4/G5/G6)
Evergreen Pump Cover,type,Oreo Pump Cover,Evergreen Pump Cover,most common (G4/G5/G6)
Evergreen Pump Cover,type,Midnight Black Pump Cover,Evergreen Pump Cover,most common (G4/G5/G6)
Evergreen Pump Cover,type,Cherry Blossom Pump Cover,Pump Cover,most common (G4/G5/G6)
Evergreen Pump Cover,type,Navy Pump Cover,Pump Cover,most common (G4/G5/G6)
Evergreen Pump Cover,type,Gunmetal Grey Pump Cover,Pump Cover,most common (G4/G5/G6)
Evergreen Pump Cover,type,Amethyst Pump Cover,Pump Cover,most common (G4/G5/G6)
Evergreen Pump Cover,type,Amethyst Camo Pump Cover,Pump Cover,most common (G4/G5/G6)
Evergreen Pump Cover,type,Arctic Camo Pump Cover,Pump Cover,most common (G4/G5/G6)
Evergreen Pump Cover,template,Blackout Pump Cover,(null),most common (G4/G5/G6)
Evergreen Pump Cover,template,UNC Blue Pump Cover,(null),most common (G4/G5/G6)
Evergreen Pump Cover,template,Cool Grey Pump Cover,(null),most common (G4/G5/G6)
Evergreen Pump Cover,template,Oreo Pump Cover,(null),most common (G4/G5/G6)
Evergreen Pump Cover,template,Midnight Black Pump Cover,(null),most common (G4/G5/G6)
Evergreen Pump Cover,template,Cherry Blossom Pump Cover,Default product,most common (G4/G5/G6)
Evergreen Pump Cover,template,Navy Pump Cover,(null),most common (G4/G5/G6)
Evergreen Pump Cover,template,Gunmetal Grey Pump Cover,(null),most common (G4/G5/G6)
Evergreen Pump Cover,template,Amethyst Pump Cover,(null),most common (G4/G5/G6)
Evergreen Pump Cover,template,Amethyst Camo Pump Cover,(null),most common (G4/G5/G6)
Evergreen Pump Cover,template,Arctic Camo Pump Cover,(null),most common (G4/G5/G6)
Evergreen Pump Cover,tag:size-2xl,"Blackout Pump Cover, UNC Blue Pump Cover, Cool Grey Pump Cover, Midnight Black Pump Cover",on some siblings only,DROP (Rule G1 exception)
Evergreen Pump Cover,tag:size-3xl,"Blackout Pump Cover, UNC Blue Pump Cover, Cool Grey Pump Cover, Midnight Black Pump Cover",on some siblings only,DROP (Rule G1 exception)
